ROAD_ID,UNIT_ID,TRANSECT_ID,POINT_ID,SURVEY_YEAR,SURVEY_DATE,SPECIES_ALPHA_CODE,TIME_INTERVAL,SIGHTING_ANGLE,EXACT_DISTANCE,DISTANCE_CATEGORY,FLYOVER,DISPLAY/USING AREA,SEX,DETECTION_TYPE,GROUP_SIZE,NOTES
KOUG,K4,T17,18,2021,10-May-21,WIPT,2,164,130,NA,N,,M,AV,2,2; FLYING FIRST THEN LANDED
KOUG,K4,T17,18,2021,10-May-21,FOSP,3,NA,NA,101,N,,U,A,1,
KOUG,K4,T17,18,2021,10-May-21,WIPT,4,58,175,NA,N,,M,AV,1,
KOUG,K4,T17,18,2021,10-May-21,SONG,5,NA,NA,NA,Y,,U,V,1,
KOUG,K4,T17,18,2021,10-May-21,ATSP,5,NA,NA,101,N,,U,A,1,
KOUG,K4,T17,18,2021,10-May-21,ATSP,6,NA,NA,1,N,,U,A,1,
KOUG,K4,T17,18,2021,10-May-21,CORE,8,NA,NA,NA,Y,,U,A,1,
KOUG,K4,T17,18,2021,10-May-21,WIPT,9,242,220,NA,N,,M,A,1,
KOUG,K4,T17,18,2021,10-May-21,WIPT,9,62,400,NA,N,,M,A,1,
KOUG,K4,T17,18,2021,10-May-21,WIPT,9,32,150,NA,N,,M,A,1,
KOUG,K4,T17,18,2021,10-May-21,WIPT,9,304,400,NA,N,,M,A,1,
KOUG,K4,T17,14,2021,10-May-21,WIPT,0,60,400,NA,N,,M,A,1,
KOUG,K4,T17,14,2021,10-May-21,WIPT,1,100,375,NA,N,,M,A,1,
KOUG,K4,T17,14,2021,10-May-21,ATSP,1,NA,NA,201,N,,U,A,1,
KOUG,K4,T17,14,2021,10-May-21,GULL,2,208,280,NA,Y,,U,A,1,
KOUG,K4,T17,14,2021,10-May-21,WIPT,2,NA,NA,NA,N,,M,AV,1,
KOUG,K4,T17,14,2021,10-May-21,SONG,4,NA,NA,NA,Y,,U,V,1,
KOUG,K4,T17,14,2021,10-May-21,SONG,4,NA,NA,NA,Y,,U,A,1,
KOUG,K4,T17,14,2021,10-May-21,ATSP,7,NA,NA,101,N,,U,A,1,
KOUG,K4,T17,14,2021,10-May-21,FOSP,8,NA,NA,201,N,,U,A,1,
KOUG,K4,T17,14,2021,10-May-21,WISN,9,NA,NA,NA,Y,,U,A,1,
KOUG,K4,T17,11,2021,10-May-21,GCSP,0,NA,NA,101,N,,U,A,1,
KOUG,K4,T17,11,2021,10-May-21,WIPT,1,234,300,NA,N,,M,A,1,
KOUG,K4,T17,11,2021,10-May-21,ROPT,1,248,400,NA,N,,M,A,1,
KOUG,K4,T17,11,2021,10-May-21,SONG,3,NA,NA,NA,Y,,U,V,1,
KOUG,K4,T17,11,2021,10-May-21,ATSP,3,NA,NA,201,N,,U,A,1,
KOUG,K4,T17,11,2021,10-May-21,ATSP,3,NA,NA,101,N,,U,A,1,
KOUG,K4,T17,11,2021,10-May-21,ATSP,4,NA,NA,1,N,,U,A,1,
KOUG,K4,T17,11,2021,10-May-21,FOSP,4,NA,NA,101,N,,U,A,1,
KOUG,K4,T17,11,2021,10-May-21,LALO,5,NA,NA,NA,Y,,U,A,1,
KOUG,K4,T17,8,2021,10-May-21,AMPI,2,NA,NA,NA,Y,,U,AV,2,
KOUG,K4,T17,8,2021,10-May-21,ATSP,2,NA,NA,1,N,,U,AV,2,
KOUG,K4,T17,8,2021,10-May-21,CORE,4,NA,NA,NA,Y,,U,A,1,
KOUG,K4,T17,8,2021,10-May-21,WIPT,7,16,250,NA,N,,M,A,1,
KOUG,K4,T17,6,2021,10-May-21,AMPI,1,NA,NA,NA,Y,,U,A,1,
KOUG,K4,T17,6,2021,10-May-21,AMPI,3,NA,NA,NA,Y,,U,VA,1,
KOUG,K4,T17,6,2021,10-May-21,GCSP,3,NA,NA,101,N,,U,A,1,
KOUG,K4,T17,6,2021,10-May-21,LALO,9,NA,NA,101,N,,U,A,1,
KOUG,K4,T17,4,2021,10-May-21,LALO,0,NA,NA,NA,Y,,U,A,1,
KOUG,K4,T17,4,2021,10-May-21,AMPI,0,NA,NA,NA,Y,,U,AV,1,
KOUG,K4,T17,4,2021,10-May-21,GCSP,0,NA,NA,201,N,,U,A,1,
KOUG,K4,T17,4,2021,10-May-21,CORE,2,NA,NA,NA,Y,,U,A,1,
KOUG,K4,T17,4,2021,10-May-21,ROPT,3,138,450,NA,N,,M,A,1,
KOUG,K4,T17,4,2021,10-May-21,AMPI,6,NA,NA,NA,Y,,U,A,1,
KOUG,K4,T17,4,2021,10-May-21,ROPT,6,218,450,NA,N,,M,A,1,UP HIGH TO WEST
KOUG,K4,T17,4,2021,10-May-21,SURF,8,54,601,NA,N,,U,A,1,HIGH ON EAST HILLSIDE
